year,country,impact
1972,BRA,0.02066997246858558
1972,NOR,0.012125185554208948
1972,HKG,0.017069864239546262
1972,SAU,0.009790544362769635
1972,FIN,0.009619753447421131
1972,SGP,0.009188796871412008
1972,MEX,0.02553497160607106
1972,POL,0.007766840188827888
1972,VEN,0.019636744743870074
1972,IND,0.007508320192827335
1972,KOR,0.015892305074184893
1972,ARG,0.005462775629732077
1972,GRC,0.007587516331257631
1972,IRL,0.01804729811782858
1972,LBY,0.007121623773674951
1972,ZAF,0.007435231379069461
1973,USA,0.06445138098750554
1973,DEU,0.05671041518075732
1973,JPN,0.04881273204475118
1973,GBR,0.037002949665792866
1973,FRA,0.04434317339232814
1973,CAN,0.056706790094641295
1973,ITA,0.03848230676729164
1973,NLD,0.04264743017810882
1973,CHE,0.02760285817639846
1973,SWE,0.023785804697040207
1973,AUS,0.02391223393842378
1973,ESP,0.01657982998568047
1973,DNK,0.01776209483098
1973,BRA,0.020842997923229956
1973,AUT,0.025225576211856615
1973,NOR,0.011787180108902682
1973,SAU,0.011667674954502336
1973,HKG,0.016328523578005894
1973,SGP,0.010713605312663152
1973,KOR,0.019609769588592216
1973,VEN,0.02186279387006778
1973,FIN,0.008855857891233812
1973,POL,0.011503898495202957
1973,MEX,0.025546429051985446
1973,LBY,0.010779294311222784
1973,IDN,0.017805993528229654
1973,GRC,0.007503372857572201
1973,MYS,0.007352993066243464
1973,ARG,0.004179420876978011
1973,IND,0.0066707517880027194
1974,USA,0.05913102298150089
1974,DEU,0.05012930045639726
1974,JPN,0.046233700258230995
1974,GBR,0.033419694542537105
1974,FRA,0.03906680438604556
1974,ITA,0.03455776731658658
1974,CAN,0.05199879380247693
1974,NLD,0.03839054578599515
1974,SAU,0.023327593130465576
1974,SWE,0.021732149717944575
1974,CHE,0.023770597108742932
1974,AUS,0.02140215598106136
1974,ESP,0.015345621079547069
1974,BRA,0.021712171954726113
1974,DNK,0.014646446692534752
1974,VEN,0.02614358985860807
1974,AUT,0.022081341380771155
1974,NOR,0.010087220703372212
1974,SGP,0.010839057799069731
1974,IDN,0.02185907885953873
1974,LBY,0.014815657866121178
1974,KWT,0.014072449780897325
1974,NGA,0.014758912053922062
1974,HKG,0.013128326310895581
1974,KOR,0.018325380637867785
1974,MEX,0.025824805177664917
1974,POL,0.010089255252236308
1974,FIN,0.0077986708892852225
1974,DZA,0.010380534754061603
1974,MYS,0.0070111439978956
1975,USA,0.05689362400032775
1975,DEU,0.048921525593887905
1975,JPN,0.0435892952575251
1975,FRA,0.03893773838668539
1975,GBR,0.03359453935766027
1975,CAN,0.05081555532361044
1975,ITA,0.03362272505860922
1975,NLD,0.03800473910130917
1975,SAU,0.02481790628027979
1975,SWE,0.022375724956936696
1975,CHE,0.02273362909643089
1975,AUS,0.020906060012590932
1975,ESP,0.015763203423850958
1975,BRA,0.02015939744329045
1975,DNK,0.015528223373952854
1975,NOR,0.012888870323945915
1975,AUT,0.02235698071072353
1975,VEN,0.023794478442440866
1975,IRN,0.01632720784910826
1975,SGP,0.010282993856862774
1975,NGA,0.014822370896982413
1975,IDN,0.0203473534676722
1975,KOR,0.01725290339714968
1975,POL,0.00939142371961375
1975,HKG,0.012657008037328357
1975,KWT,0.012794419373870483
1975,MEX,0.02586951204485305
1975,LBY,0.010411177993348213
1975,DZA,0.012123356785112433
1975,FIN,0.007949445520363448
1976,USA,0.05954948347447113
1976,DEU,0.05009182243965249
1976,JPN,0.046690930266237614
1976,FRA,0.0404232081958282
1976,GBR,0.033746058594195986
1976,CAN,0.053160511830913075
1976,NLD,0.038574545931139986
1976,ITA,0.034269637590856515
1976,SAU,0.028168955285279844
1976,SWE,0.02193598987969494
1976,CHE,0.02365604550008498
1976,AUS,0.023498746887263833
1976,ESP,0.015004099559902392
1976,BRA,0.019973026120396743
1976,DNK,0.017208129202143117
1976,AUT,0.023872036247064844
1976,NOR,0.013337789994182418
1976,NGA,0.019706113641717402
1976,KOR,0.020213100464338937
1976,VEN,0.024011654305256275
1976,HKG,0.0165953243463269
1976,SGP,0.010468856603725249
1976,IDN,0.020229917619171003
1976,KWT,0.01329923501150279
1976,LBY,0.012799811671101662
1976,IRN,0.013488885824649542
1976,POL,0.009099933927487128
1976,ARE,0.013569757403509592
1976,MEX,0.025604873838394132
1976,FIN,0.007194396468292998
1977,USA,0.05907047214493244
1977,DEU,0.05038893153465067
1977,JPN,0.04687689238911212
1977,FRA,0.03989962228637776
1977,GBR,0.03565793822608186
1977,ITA,0.0342401751450665
1977,NLD,0.03869434189577485
1977,CAN,0.05230872948051363
1977,SAU,0.027734310140638898
1977,SWE,0.020694053518818024
1977,CHE,0.02455946003850992
1977,ESP,0.013660229729811754
1977,AUS,0.02185351790842485
1977,BRA,0.01812598739592939
1977,AUT,0.025365088966959565
1977,DNK,0.01599780867112121
1977,KOR,0.021421348379139105
1977,NOR,0.014244065620951105
1977,NGA,0.020792751121139742
1977,VEN,0.02419276571742714
1977,SGP,0.010889705615140232
1977,HKG,0.017402016797087846
1977,IDN,0.020670205985669925
1977,LBY,0.016866580634102003
1977,ARE,0.013326214914820871
1977,IRN,0.01237919064685206
1977,KWT,0.01358135127202011
1977,POL,0.008062969176947132
1977,DZA,0.014690172906253808
1977,MEX,0.024572456743982375
1978,USA,0.06071037414996365
1978,DEU,0.053017097001655515
1978,JPN,0.04865466976253994
1978,FRA,0.041970556928354844
1978,GBR,0.036317565072173374
1978,ITA,0.03612311142261359
1978,NLD,0.040093704314970204
1978,CAN,0.05290043873559551
1978,SAU,0.028423371119399726
1978,CHE,0.027359459654987196
1978,SWE,0.01996408678030578
1978,ESP,0.013334242060519622
1978,AUS,0.02085277513517504
1978,KOR,0.023554270627894995
1978,AUT,0.02662200263682171
1978,DNK,0.017098200133924327
1978,HKG,0.0175839039066084
1978,BRA,0.019306888398440407
